地域階層,地域コード,地域,年齢階層,年齢,総数／計(人),総数／男(人),総数／女(人),日本人／計(人),日本人／男(人),日本人／女(人),外国人／計(人),外国人／男(人),外国人／女(人)
4,13111,大田区,1,20～24,46114,22734,23380,42535,20860,21675,3579,1874,1705
4,13111,大田区,1,25～29,67734,34540,33194,61325,31186,30139,6409,3354,3055
4,13111,大田区,1,30～34,55633,28762,26871,50173,25776,24397,5460,2986,2474
4,13111,大田区,1,35～39,47960,24719,23241,44114,22709,21405,3846,2010,1836
4,13111,大田区,1,40～44,50637,26116,24521,47756,24754,23002,2881,1362,1519
4,13111,大田区,1,45～49,52809,27074,25735,50611,26040,24571,2198,1034,1164
4,13111,大田区,1,50～54,60582,30961,29621,58810,30211,28599,1772,750,1022
4,13111,大田区,1,55～59,54520,28338,26182,52915,27722,25193,1605,616,989
4,13111,大田区,1,60～64,44291,23107,21184,43118,22655,20463,1173,452,721
4,13111,大田区,1,65～69,34556,17491,17065,33878,17223,16655,678,268,410
4,13111,大田区,1,70～74,33059,16210,16849,32595,16027,16568,464,183,281
4,13111,大田区,1,75～79,38408,17646,20762,38101,17514,20587,307,132,175
4,13111,大田区,1,80～84,27487,11452,16035,27315,11377,15938,172,75,97
4,13111,大田区,1,85～89,18071,6448,11623,17966,6410,11556,105,38,67
4,13111,大田区,1,90～94,9474,2679,6795,9421,2659,6762,53,20,33
4,13111,大田区,1,95～99,2703,543,2160,2696,539,2157,7,4,3
4,13111,大田区,1,100以上,460,55,405,460,55,405,-,-,-
4,13111,大田区,1,不詳者,-,-,-,-,-,-,-,-,-
4,13112,世田谷区,0,総数,928666,439436,489230,897894,423674,474220,30772,15762,15010
4,13112,世田谷区,1,0～4,29643,15217,14426,28998,14865,14133,645,352,293
4,13112,世田谷区,1,5～9,34343,17567,16776,33716,17263,16453,627,304,323
4,13112,世田谷区,1,10～14,38093,19395,18698,37445,19063,18382,648,332,316
4,13112,世田谷区,1,15～19,38850,20004,18846,37625,19339,18286,1225,665,560
4,13112,世田谷区,1,20～24,52378,26215,26163,48225,24068,24157,4153,2147,2006
4,13112,世田谷区,1,25～29,70128,33652,36476,65122,31116,34006,5006,2536,2470
4,13112,世田谷区,1,30～34,64159,30707,33452,59670,28510,31160,4489,2197,2292
4,13112,世田谷区,1,35～39,60213,28499,31714,56549,26662,29887,3664,1837,1827
4,13112,世田谷区,1,40～44,66337,31633,34704,63631,30203,33428,2706,1430,1276
4,13112,世田谷区,1,45～49,74020,35120,38900,71925,34043,37882,2095,1077,1018
4,13112,世田谷区,1,50～54,78270,36878,41392,76703,36020,40683,1567,858,709
4,13112,世田谷区,1,55～59,70523,34037,36486,69200,33319,35881,1323,718,605
4,13112,世田谷区,1,60～64,59400,29312,30088,58403,28782,29621,997,530,467
4,13112,世田谷区,1,65～69,44241,21414,22827,43600,21066,22534,641,348,293
4,13112,世田谷区,1,70～74,37261,17337,19924,36862,17161,19701,399,176,223
4,13112,世田谷区,1,75～79,42105,18617,23488,41837,18497,23340,268,120,148
4,13112,世田谷区,1,80～84,30056,11894,18162,29898,11820,18078,158,74,84
4,13112,世田谷区,1,85～89,21252,7387,13865,21163,7352,13811,89,35,54
4,13112,世田谷区,1,90～94,12731,3623,9108,12684,3606,9078,47,17,30
4,13112,世田谷区,1,95～99,3996,837,3159,3976,830,3146,20,7,13
4,13112,世田谷区,1,100以上,667,91,576,662,89,573,5,2,3
4,13112,世田谷区,1,不詳者,-,-,-,-,-,-,-,-,-
4,13113,渋谷区,0,総数,230880,110615,120265,217600,103465,114135,13280,7150,6130
4,13113,渋谷区,1,0～4,7361,3711,3650,7126,3601,3525,235,110,125
4,13113,渋谷区,1,5～9,7936,3944,3992,7618,3797,3821,318,147,171
4,13113,渋谷区,1,10～14,7865,3955,3910,7557,3815,3742,308,140,168
4,13113,渋谷区,1,15～19,7253,3588,3665,6810,3352,3458,443,236,207
4,13113,渋谷区,1,20～24,10859,5219,5640,9541,4573,4968,1318,646,672
4,13113,渋谷区,1,25～29,18940,9498,9442,17057,8526,8531,1883,972,911
4,13113,渋谷区,1,30～34,19513,9902,9611,17609,8887,8722,1904,1015,889
4,13113,渋谷区,1,35～39,18335,9102,9233,16658,8183,8475,1677,919,758
4,13113,渋谷区,1,40～44,19667,9830,9837,18312,9036,9276,1355,794,561
4,13113,渋谷区,1,45～49,20124,9979,10145,19086,9368,9718,1038,611,427
4,13113,渋谷区,1,50～54,19386,9238,10148,18535,8735,9800,851,503,348
4,13113,渋谷区,1,55～59,16841,8074,8767,16155,7679,8476,686,395,291
4,13113,渋谷区,1,60～64,13479,6563,6916,12978,6281,6697,501,282,219
4,13113,渋谷区,1,65～69,9942,4730,5212,9620,4573,5047,322,157,165
4,13113,渋谷区,1,70～74,8391,3928,4463,8214,3833,4381,177,95,82
